time type instance representation
16 find 10 matrix
9 find 10 matrix
21 find 10 matrix
25 find 10 matrix
24 find 10 matrix
80 tarjan 10 matrix
52 tarjan 10 matrix
96 tarjan 10 matrix
101 tarjan 10 matrix
82 tarjan 10 matrix
108 khan 10 matrix
145 khan 10 matrix
92 khan 10 matrix
75 khan 10 matrix
152 khan 10 matrix
55 find 10 list
19 find 10 list
18 find 10 list
33 find 10 list
14 find 10 list
88 tarjan 10 list
68 tarjan 10 list
77 tarjan 10 list
87 tarjan 10 list
101 tarjan 10 list
114 khan 10 list
95 khan 10 list
127 khan 10 list
76 khan 10 list
78 khan 10 list
43 find 10 table
33 find 10 table
35 find 10 table
16 find 10 table
43 find 10 table
82 tarjan 10 table
56 tarjan 10 table
65 tarjan 10 table
90 tarjan 10 table
49 tarjan 10 table
133 khan 10 table
112 khan 10 table
124 khan 10 table
57 khan 10 table
153 khan 10 table
35 find 100 matrix
28 find 100 matrix
29 find 100 matrix
16 find 100 matrix
23 find 100 matrix
500 tarjan 100 matrix
474 tarjan 100 matrix
491 tarjan 100 matrix
465 tarjan 100 matrix
373 tarjan 100 matrix
597 khan 100 matrix
442 khan 100 matrix
851 khan 100 matrix
982 khan 100 matrix
529 khan 100 matrix
43 find 100 table
21 find 100 table
24 find 100 table
42 find 100 table
52 find 100 table
104 tarjan 100 table
114 tarjan 100 table
207 tarjan 100 table
165 tarjan 100 table
364 tarjan 100 table
2542 khan 100 table
26 find 500 matrix
55 find 500 matrix
17 find 500 matrix
30 find 500 matrix
13 find 500 matrix
5935 tarjan 500 matrix
3040 tarjan 500 matrix
6075 tarjan 500 matrix
6285 tarjan 500 matrix
7100 tarjan 500 matrix
5315 khan 500 matrix
6144 khan 500 matrix
6747 khan 500 matrix
5454 khan 500 matrix
6218 khan 500 matrix
15 find 500 list
15 find 500 list
40 find 500 list
46 find 500 list
35 find 500 list
11083 tarjan 500 list
7547 tarjan 500 list
4416 tarjan 500 list
5203 tarjan 500 list
4391 tarjan 500 list
2813 khan 500 list
4648 khan 500 list
6606 khan 500 list
5881 khan 500 list
7467 khan 500 list
30 find 500 table
58 find 500 table
1044 find 500 table
36 find 500 table
828 find 500 table
544 tarjan 500 table
522 tarjan 500 table
1102 tarjan 500 table
1102 tarjan 500 table
934 tarjan 500 table
22294 khan 500 table
26181 khan 500 table
23274 khan 500 table
24974 khan 500 table
22467 khan 500 table
25 find 1000 matrix
40 find 1000 matrix
14 find 1000 matrix
26 find 1000 matrix
32 find 1000 matrix
17873 tarjan 1000 matrix
17540 tarjan 1000 matrix
13559 tarjan 1000 matrix
18809 tarjan 1000 matrix
20005 tarjan 1000 matrix
17654 khan 1000 matrix
15105 khan 1000 matrix
19936 khan 1000 matrix
19723 khan 1000 matrix
20069 khan 1000 matrix
27 find 1000 list
63 find 1000 list
50 find 1000 list
23 find 1000 list
17 find 1000 list
17511 tarjan 1000 list
20738 tarjan 1000 list
13963 tarjan 1000 list
15590 tarjan 1000 list
22510 tarjan 1000 list
18059 khan 1000 list
17728 khan 1000 list
16592 khan 1000 list
18670 khan 1000 list
17796 khan 1000 list
74 find 1000 table
28 find 1000 table
60 find 1000 table
1037 find 1000 table
22 find 1000 table
1223 tarjan 1000 table
1015 tarjan 1000 table
991 tarjan 1000 table
990 tarjan 1000 table
1489 tarjan 1000 table
56846 khan 1000 table
62408 khan 1000 table
57040 khan 1000 table
59975 khan 1000 table
55851 khan 1000 table

